time,open,high,low,close,volume_usdc,volume_zar
2025-05-31 08:00:00+00:00,18.24,18.32,18.23,18.27,2.117,38.67
2025-05-31 09:00:00+00:00,18.27,18.3,18.25,18.28,1.102,20.14
2025-05-31 10:00:00+00:00,18.28,18.3,18.26,18.26,0.8652,15.8
2025-05-31 11:00:00+00:00,18.26,18.28,18.24,18.25,1.177,21.48
2025-05-31 12:00:00+00:00,18.25,18.23,18.16,18.2,1.609,29.29
2025-05-31 13:00:00+00:00,18.2,18.22,18.19,18.2,1.119,20.37
2025-05-31 14:00:00+00:00,18.2,18.18,18.12,18.18,1.223,22.24
2025-05-31 15:00:00+00:00,18.18,18.21,18.16,18.2,1.419,25.82
2025-05-31 16:00:00+00:00,18.2,18.24,18.18,18.21,0.7264,13.23
2025-05-31 17:00:00+00:00,18.21,18.24,18.21,18.21,0.7097,12.93
2025-05-31 18:00:00+00:00,18.21,18.22,18.19,18.22,0.6016,10.96
2025-05-31 19:00:00+00:00,18.22,18.21,18.18,18.2,0.6892,12.54
2025-05-31 20:00:00+00:00,18.2,18.19,18.17,18.19,0.8575,15.59
2025-05-31 21:00:00+00:00,18.19,18.19,18.16,18.18,0.4871,8.855
2025-05-31 22:00:00+00:00,18.18,18.23,18.21,18.21,0.1926,3.506
2025-05-31 23:00:00+00:00,18.21,18.23,18.2,18.2,0.4198,7.641
2025-06-01 00:00:00+00:00,18.2,18.23,18.19,18.19,0.2038,3.708
2025-06-01 01:00:00+00:00,18.19,18.25,18.21,18.21,0.4113,7.489
2025-06-01 02:00:00+00:00,18.21,18.21,18.18,18.21,0.1463,2.664
2025-06-01 03:00:00+00:00,18.21,18.2,18.15,18.2,0.1146,2.086
2025-06-01 04:00:00+00:00,18.2,18.2,18.15,18.2,0.1746,3.177
2025-06-01 05:00:00+00:00,18.2,18.22,18.2,18.21,0.5021,9.144
2025-06-01 06:00:00+00:00,18.21,18.26,18.21,18.21,0.3307,6.024
2025-06-01 07:00:00+00:00,18.21,18.24,18.21,18.23,0.4198,7.653
2025-06-01 08:00:00+00:00,18.23,18.24,18.19,18.22,0.6564,11.96
2025-06-01 09:00:00+00:00,18.22,18.32,18.22,18.24,1.427,26.03
2025-06-01 10:00:00+00:00,18.24,18.29,18.24,18.27,0.5931,10.84
2025-06-01 11:00:00+00:00,18.27,18.29,18.23,18.28,0.9573,17.5
2025-06-01 12:00:00+00:00,18.28,18.31,18.24,18.27,0.7879,14.39
2025-06-01 13:00:00+00:00,18.27,18.27,18.21,18.24,0.6847,12.49
2025-06-01 14:00:00+00:00,18.24,18.22,18.18,18.2,1.087,19.78
2025-06-01 15:00:00+00:00,18.2,18.21,18.18,18.21,0.6547,11.92
2025-06-01 16:00:00+00:00,18.21,18.24,18.15,18.21,1.286,23.41
2025-06-01 17:00:00+00:00,18.21,18.22,18.19,18.21,0.5873,10.69
2025-06-01 18:00:00+00:00,18.21,18.24,18.14,18.21,1.054,19.19
2025-06-01 19:00:00+00:00,18.21,18.21,18.17,18.21,0.8278,15.07
2025-06-01 20:00:00+00:00,18.21,18.24,18.21,18.21,0.8031,14.62
2025-06-01 21:00:00+00:00,18.21,18.19,18.11,18.19,0.3364,6.118
2025-06-01 22:00:00+00:00,18.19,18.23,18.18,18.19,0.8479,15.42
2025-06-01 23:00:00+00:00,18.19,18.2,18.16,18.19,0.5054,9.195
2025-06-02 00:00:00+00:00,18.19,18.23,18.18,18.18,0.6372,11.58
2025-06-02 01:00:00+00:00,18.2,18.2,18.18,18.18,7211.6,131119.15
2025-06-02 02:00:00+00:00,18.18,18.24,18.21,18.21,0.3939,7.174
2025-06-02 03:00:00+00:00,18.21,18.25,18.19,18.24,1.06,19.33
2025-06-02 04:00:00+00:00,18.24,18.27,18.19,18.19,1.431,26.03
2025-06-02 05:00:00+00:00,18.19,18.19,18.14,18.15,1.249,22.67
2025-06-02 06:00:00+00:00,18.15,18.14,18.08,18.09,3.152,57.02
2025-06-02 07:00:00+00:00,18.09,18.1,18.05,18.08,1.567,28.34
2025-06-02 08:00:00+00:00,18.08,18.19,18.09,18.1,2.073,37.51
2025-06-02 09:00:00+00:00,18.1,18.23,18.09,18.12,3.466,62.79
2025-06-02 10:00:00+00:00,18.12,18.15,18.1,18.13,1.589,28.8
2025-06-02 11:00:00+00:00,18.13,18.19,18.11,18.13,2.049,37.16
2025-06-02 12:00:00+00:00,18.13,18.11,18.06,18.09,1.57,28.4
2025-06-02 13:00:00+00:00,18.09,18.21,18.08,18.08,2.194,39.67
2025-06-02 14:00:00+00:00,18.08,18.13,18.02,18.04,1.609,29.03
2025-06-02 15:00:00+00:00,18.04,18.07,17.96,18.05,0.6821,12.31
2025-06-02 16:00:00+00:00,18.05,18.08,18.0,18.06,1.416,25.58
2025-06-02 17:00:00+00:00,18.06,18.08,18.0,18.03,0.7939,14.31
2025-06-02 18:00:00+00:00,18.03,18.11,18.04,18.06,1.249,22.56
2025-06-02 19:00:00+00:00,18.06,18.07,18.01,18.05,1.003,18.1
2025-06-02 20:00:00+00:00,18.05,18.05,17.97,18.05,1.264,22.81
2025-06-02 21:00:00+00:00,18.05,18.06,18.0,18.03,1.042,18.78
2025-06-02 22:00:00+00:00,18.03,18.05,17.9,18.04,1.328,23.96
2025-06-02 23:00:00+00:00,18.04,18.03,18.0,18.03,1.033,18.62
2025-06-03 00:00:00+00:00,18.03,18.05,17.95,18.03,1.22,22.0
2025-06-03 01:00:00+00:00,18.03,18.03,18.0,18.01,0.5802,10.45
